país,2020,2021,2022,2023,2024,2025,Crescimento 2020-2021,Crescimento 2021-2022,Crescimento 2022-2023,Crescimento 2023-2024,Crescimento 2024-2025,Média do Crescimento,Ranking de crescimento,Faixa de crescimento,Participação 2020,Participação 2025,Tendência de Participação,Crescimento Bruto,Ranking de Crescimento Bruto
New Zealand,"$210,541.00","$249,775.00","$245,203.00","$253,436.00","$257,728.00","$248,666.00",18.63%,-1.83%,3.36%,1.69%,-3.52%,3.67,163,Baixo,0.25%,0.22%,↓ Caiu,"$38,125",78
Nicaragua,"$12,730.00","$14,208.00","$15,634.00","$17,820.00","$19,710.00","$21,155.00",11.61%,10.04%,13.98%,10.61%,7.33%,10.71,35,Alto,0.01%,0.02%,↑ Cresceu,"$8,425",19
Niger,"$13,764.00","$14,923.00","$15,458.00","$16,809.00","$19,866.00","$21,874.00",8.42%,3.59%,8.74%,18.19%,10.11%,9.81,47,Médio,0.02%,0.02%,→ Estável,"$8,110",20
Nigeria,"$432,299.00","$441,074.00","$476,468.00","$363,816.00","$187,640.00","$188,271.00",2.03%,8.02%,-23.64%,-48.42%,0.34%,-12.34,182,Baixo,0.50%,0.17%,↓ Caiu,"$-244,028",191
North Macedonia,"$12,385.00","$14,008.00","$13,957.00","$15,772.00","$16,679.00","$17,885.00",13.10%,-0.36%,13.00%,5.75%,7.23%,7.75,79,Médio,0.01%,0.02%,↑ Cresceu,"$5,500",52
Norway,"$367,633.00","$503,368.00","$596,298.00","$482,950.00","$483,727.00","$504,276.00",36.92%,18.46%,-19.01%,0.16%,4.25%,8.16,70,Médio,0.43%,0.44%,↑ Cresceu,"$136,643",146
Oman,"$75,909.00","$87,324.00","$109,853.00","$105,896.00","$106,943.00","$104,351.00",15.04%,25.80%,-3.60%,0.99%,-2.42%,7.16,93,Médio,0.09%,0.09%,→ Estável,"$28,442",108
Pakistan,"$300,410.00","$348,481.00","$374,850.00","$337,754.00","$373,078.00","$373,078.00",16.00%,7.57%,-9.90%,10.46%,0.00%,4.83,146,Baixo,0.35%,0.33%,↓ Caiu,"$72,668",30
Palau,$259.00,$236.00,$248.00,$275.00,$306.00,$333.00,-8.88%,5.08%,10.89%,11.27%,8.82%,5.44,133,Médio,0.00%,0.00%,→ Estável,$74,28
Panama,"$57,087.00","$67,407.00","$76,523.00","$83,382.00","$87,688.00","$91,675.00",18.08%,13.52%,8.96%,5.16%,4.55%,10.06,44,Alto,0.07%,0.08%,↑ Cresceu,"$34,588",88
Papua New Guinea,"$23,848.00","$26,113.00","$31,653.00","$30,729.00","$31,654.00","$32,835.00",9.50%,21.22%,-2.92%,3.01%,3.73%,6.91,98,Médio,0.03%,0.03%,→ Estável,"$8,987",17
Paraguay,"$35,432.00","$39,951.00","$41,953.00","$43,118.00","$43,989.00","$45,465.00",12.75%,5.01%,2.78%,2.02%,3.36%,5.18,137,Médio,0.04%,0.04%,→ Estável,"$10,033",173
Peru,"$206,461.00","$226,268.00","$244,419.00","$267,482.00","$289,070.00","$303,293.00",9.59%,8.02%,9.44%,8.07%,4.92%,8.01,74,Médio,0.24%,0.27%,↑ Cresceu,"$96,832",3
Philippines,"$361,751.00","$394,087.00","$404,353.00","$437,055.00","$461,617.00","$497,495.00",8.94%,2.61%,8.09%,5.62%,7.77%,6.6,105,Médio,0.42%,0.44%,↑ Cresceu,"$135,744",147
Poland,"$605,930.00","$689,253.00","$695,734.00","$809,706.00","$908,583.00","$979,960.00",13.75%,0.94%,16.38%,12.21%,7.86%,10.23,42,Alto,0.71%,0.86%,↑ Cresceu,"$374,030",80
Portugal,"$229,435.00","$256,226.00","$257,101.00","$289,781.00","$308,590.00","$321,440.00",11.68%,0.34%,12.71%,6.49%,4.16%,7.08,95,Médio,0.27%,0.28%,↑ Cresceu,"$92,005",7
Puerto Rico,"$103,131.00","$106,427.00","$113,567.00","$117,902.00","$120,978.00","$122,522.00",3.20%,6.71%,3.82%,2.61%,1.28%,3.52,164,Baixo,0.12%,0.11%,↓ Caiu,"$19,391",130
Qatar,"$144,411.00","$179,732.00","$235,709.00","$213,003.00","$221,452.00","$222,776.00",24.46%,31.14%,-9.63%,3.97%,0.60%,10.11,43,Alto,0.17%,0.20%,↑ Cresceu,"$78,365",23
Romania,"$252,372.00","$286,783.00","$296,928.00","$350,847.00","$384,148.00","$403,395.00",13.64%,3.54%,18.16%,9.49%,5.01%,9.97,45,Médio,0.29%,0.35%,↑ Cresceu,"$151,023",139
Russia,"$1,488,118.00","$1,828,927.00","$2,295,527.00","$2,059,762.00","$2,161,205.00","$2,076,396.00",22.90%,25.51%,-10.27%,4.92%,-3.92%,7.83,78,Médio,1.73%,1.82%,↑ Cresceu,"$588,278",41
Rwanda,"$10,174.00","$11,066.00","$13,313.00","$14,331.00","$14,251.00","$14,771.00",8.77%,20.31%,7.65%,-0.56%,3.65%,7.96,76,Médio,0.01%,0.01%,→ Estável,"$4,597",70
Samoa,$869.00,$844.00,$833.00,$938.00,"$1,068.00","$1,160.00",-2.88%,-1.30%,12.61%,13.86%,8.61%,6.18,117,Médio,0.00%,0.00%,→ Estável,$291,105
San Marino,"$1,543.00","$1,857.00","$1,833.00","$2,003.00","$2,063.00","$2,047.00",20.35%,-1.29%,9.27%,3.00%,-0.78%,6.11,119,Médio,0.00%,0.00%,→ Estável,$504,49
São Tomé and Príncipe,$476.00,$529.00,$546.00,$684.00,$796.00,$864.00,11.13%,3.21%,25.27%,16.37%,8.54%,12.91,18,Alto,0.00%,0.00%,→ Estável,$388,77
Saudi Arabia,"$734,271.00","$874,157.00","$1,108,571.00","$1,067,583.00","$1,085,358.00","$1,083,749.00",19.05%,26.82%,-3.70%,1.66%,-0.15%,8.74,62,Médio,0.86%,0.95%,↑ Cresceu,"$349,478",86
Senegal,"$24,534.00","$27,584.00","$27,750.00","$30,625.00","$32,892.00","$34,728.00",12.43%,0.60%,10.36%,7.40%,5.58%,7.28,91,Médio,0.03%,0.03%,→ Estável,"$10,194",172
Serbia,"$55,874.00","$65,830.00","$66,798.00","$81,343.00","$89,074.00","$92,549.00",17.82%,1.47%,21.77%,9.50%,3.90%,10.89,31,Alto,0.07%,0.08%,↑ Cresceu,"$36,675",83
Seychelles,"$1,384.00","$1,490.00","$2,018.00","$2,187.00","$2,168.00","$2,198.00",7.66%,35.44%,8.37%,-0.87%,1.38%,10.4,41,Alto,0.00%,0.00%,→ Estável,$814,15
Sierra Leone,"$6,682.00","$7,165.00","$7,119.00","$6,397.00","$7,653.00","$8,386.00",7.23%,-0.64%,-10.14%,19.63%,9.58%,5.13,139,Médio,0.01%,0.01%,→ Estável,"$1,704",175
Singapore,"$349,166.00","$436,591.00","$509,018.00","$505,440.00","$547,387.00","$564,774.00",25.04%,16.59%,-0.70%,8.30%,3.18%,10.48,40,Alto,0.41%,0.50%,↑ Cresceu,"$215,608",117
Slovakia,"$107,646.00","$120,672.00","$116,020.00","$132,947.00","$140,636.00","$147,031.00",12.10%,-3.86%,14.59%,5.78%,4.55%,6.63,104,Médio,0.13%,0.13%,→ Estável,"$39,385",76
Slovenia,"$53,342.00","$61,570.00","$59,975.00","$69,168.00","$72,463.00","$75,224.00",15.42%,-2.59%,15.33%,4.76%,3.81%,7.35,89,Médio,0.06%,0.07%,↑ Cresceu,"$21,882",118
Solomon Islands,"$1,536.00","$1,523.00","$1,566.00","$1,661.00","$1,777.00","$1,898.00",-0.85%,2.82%,6.07%,6.98%,6.81%,4.37,152,Baixo,0.00%,0.00%,→ Estável,$362,82
Somalia,"$8,628.00","$9,484.00","$10,203.00","$10,969.00","$12,134.00","$12,994.00",9.92%,7.58%,7.51%,10.62%,7.09%,8.54,65,Médio,0.01%,0.01%,→ Estável,"$4,366",72
South Africa,"$337,876.00","$420,778.00","$406,755.00","$380,592.00","$400,191.00","$410,338.00",24.54%,-3.33%,-6.43%,5.15%,2.54%,4.49,151,Baixo,0.39%,0.36%,↓ Caiu,"$72,462",31
South Sudan,"$5,423.00","$5,940.00","$8,037.00","$7,186.00","$5,423.00","$3,998.00",9.53%,35.30%,-10.59%,-24.53%,-26.28%,-3.31,180,Baixo,0.01%,0.00%,↓ Caiu,"$-1,425",195
Spain,"$1,288,751.00","$1,462,216.00","$1,447,636.00","$1,620,558.00","$1,722,227.00","$1,799,511.00",13.46%,-1.00%,11.95%,6.27%,4.49%,7.03,97,Médio,1.50%,1.58%,↑ Cresceu,"$510,760",48
Sri Lanka,"$84,304.00","$88,609.00","$74,584.00","$83,723.00","$98,964.00","$98,964.00",5.11%,-15.83%,12.25%,18.20%,0.00%,3.95,158,Baixo,0.10%,0.09%,↓ Caiu,"$14,660",145
Saint Kitts and Nevis,$884.00,$859.00,$981.00,"$1,056.00","$1,117.00","$1,129.00",-2.83%,14.20%,7.65%,5.78%,1.07%,5.17,138,Médio,0.00%,0.00%,→ Estável,$245,113
Saint Lucia,"$1,499.00","$1,867.00","$2,343.00","$2,430.00","$2,523.00","$2,632.00",24.55%,25.50%,3.71%,3.83%,4.32%,12.38,22,Alto,0.00%,0.00%,→ Estável,"$1,133",184
Saint Vincent and the Grenadines,$864.00,$888.00,$970.00,"$1,071.00","$1,162.00","$1,242.00",2.78%,9.23%,10.41%,8.50%,6.88%,7.56,83,Médio,0.00%,0.00%,→ Estável,$378,79
Sudan,"$35,237.00","$35,142.00","$33,517.00","$36,998.00","$28,270.00","$31,506.00",-0.27%,-4.62%,10.39%,-23.59%,11.45%,-1.33,176,Baixo,0.04%,0.03%,↓ Caiu,"$-3,731",190
Suriname,"$2,912.00","$3,084.00","$3,631.00","$3,445.00","$4,458.00","$4,506.00",5.91%,17.74%,-5.12%,29.40%,1.08%,9.8,48,Médio,0.00%,0.00%,→ Estável,"$1,594",177
Sweden,"$545,148.00","$637,187.00","$579,896.00","$585,490.00","$610,118.00","$620,297.00",16.88%,-8.99%,0.96%,4.21%,1.67%,2.95,168,Baixo,0.64%,0.54%,↓ Caiu,"$75,149",27
Switzerland,"$741,288.00","$814,699.00","$828,522.00","$894,867.00","$936,738.00","$947,125.00",9.90%,1.70%,8.01%,4.68%,1.11%,5.08,142,Médio,0.86%,0.83%,↓ Caiu,"$205,837",119
Syria,"$60,043.00","$60,043.00","$60,043.00","$60,043.00","$60,043.00","$60,043.00",0.00%,0.00%,0.00%,0.00%,0.00%,0.0,174,Baixo,0.07%,0.05%,↓ Caiu,$0,185
Taiwan,"$676,861.00","$776,965.00","$765,624.00","$757,335.00","$782,441.00","$804,889.00",14.79%,-1.46%,-1.08%,3.32%,2.87%,3.69,162,Baixo,0.79%,0.71%,↓ Caiu,"$128,028",156
Tajikistan,"$8,134.00","$8,934.00","$10,493.00","$11,854.00","$13,544.00","$14,836.00",9.84%,17.45%,12.97%,14.26%,9.54%,12.81,20,Alto,0.01%,0.01%,→ Estável,"$6,702",38
Tanzania,"$63,373.00","$67,964.00","$74,173.00","$79,138.00","$80,171.00","$85,977.00",7.24%,9.14%,6.69%,1.31%,7.24%,6.32,113,Médio,0.07%,0.08%,↑ Cresceu,"$22,604",116
Thailand,"$500,462.00","$506,195.00","$495,645.00","$515,906.00","$526,411.00","$546,224.00",1.15%,-2.08%,4.09%,2.04%,3.76%,1.79,171,Baixo,0.58%,0.48%,↓ Caiu,"$45,762",61
Timor-Leste,"$2,163.00","$3,625.00","$3,209.00","$2,080.00","$2,015.00","$2,115.00",67.59%,-11.48%,-35.18%,-3.12%,4.96%,4.55,150,Baixo,0.00%,0.00%,→ Estável,$-48,188
Togo,"$7,400.00","$8,338.00","$8,144.00","$9,081.00","$9,776.00","$10,023.00",12.68%,-2.33%,11.51%,7.65%,2.53%,6.41,110,Médio,0.01%,0.01%,→ Estável,"$2,623",123
Tonga,$503.00,$520.00,$515.00,$512.00,$539.00,$568.00,3.38%,-0.96%,-0.58%,5.27%,5.38%,2.5,170,Baixo,0.00%,0.00%,→ Estável,$65,36
Trinidad and Tobago,"$20,991.00","$24,177.00","$28,510.00","$25,489.00","$25,524.00","$26,467.00",15.18%,17.92%,-10.60%,0.14%,3.69%,5.27,135,Médio,0.02%,0.02%,→ Estável,"$5,476",53
Tunisia,"$42,494.00","$46,813.00","$44,596.00","$48,541.00","$53,063.00","$56,291.00",10.16%,-4.74%,8.85%,9.32%,6.08%,5.93,122,Médio,0.05%,0.05%,→ Estável,"$13,797",148
Turkey,"$717,114.00","$807,893.00","$905,800.00","$1,130,062.00","$1,322,405.00","$1,437,406.00",12.66%,12.12%,24.76%,17.02%,8.70%,15.05,12,Alto,0.84%,1.26%,↑ Cresceu,"$720,292",29
Turkmenistan,"$52,385.00","$60,934.00","$77,963.00","$77,876.00","$82,515.00","$89,054.00",16.32%,27.95%,-0.11%,5.96%,7.92%,11.61,25,Alto,0.06%,0.08%,↑ Cresceu,"$36,669",84
Tuvalu,$52.00,$62.00,$61.00,$63.00,$65.00,$65.00,19.23%,-1.61%,3.28%,3.17%,0.00%,4.81,147,Baixo,0.00%,0.00%,→ Estável,$13,154
Uganda,"$37,889.00","$42,805.00","$47,276.00","$51,934.00","$56,453.00","$64,277.00",12.97%,10.45%,9.85%,8.70%,13.86%,11.17,28,Alto,0.04%,0.06%,↑ Cresceu,"$26,388",110
Ukraine,"$156,566.00","$199,835.00","$161,987.00","$178,763.00","$190,426.00","$205,742.00",27.64%,-18.94%,10.36%,6.52%,8.04%,6.72,102,Médio,0.18%,0.18%,→ Estável,"$49,176",57
United Arab Emirates,"$349,473.00","$415,179.00","$502,732.00","$514,130.00","$537,079.00","$548,598.00",18.80%,21.09%,2.27%,4.46%,2.14%,9.75,50,Médio,0.41%,0.48%,↑ Cresceu,"$199,125",128
United Kingdom,"$2,698,705.00","$3,144,079.00","$3,125,404.00","$3,371,118.00","$3,644,636.00","$3,839,180.00",16.50%,-0.59%,7.86%,8.11%,5.34%,7.44,86,Médio,3.14%,3.37%,↑ Cresceu,"$1,140,475",183
United States,"$21,354,125.00","$23,681,175.00","$26,006,900.00","$27,720,725.00","$29,184,900.00","$30,507,217.00",10.90%,9.82%,6.59%,5.28%,4.53%,7.42,87,Médio,24.88%,26.80%,↑ Cresceu,"$9,153,092",12
Uruguay,"$53,557.00","$60,742.00","$70,600.00","$77,997.00","$80,961.00","$79,731.00",13.42%,16.23%,10.48%,3.80%,-1.52%,8.48,67,Médio,0.06%,0.07%,↑ Cresceu,"$26,174",111
Uzbekistan,"$66,443.00","$77,340.00","$90,125.00","$102,634.00","$114,962.00","$132,484.00",16.40%,16.53%,13.88%,12.01%,15.24%,14.81,13,Alto,0.08%,0.12%,↑ Cresceu,"$66,041",34
Vanuatu,"$1,008.00",$921.00,"$1,072.00","$1,158.00","$1,206.00","$1,267.00",-8.63%,16.40%,8.02%,4.15%,5.06%,5.0,144,Médio,0.00%,0.00%,→ Estável,$259,112
Venezuela,"$42,838.00","$56,615.00","$89,013.00","$102,377.00","$119,808.00","$108,511.00",32.16%,57.23%,15.01%,17.03%,-9.43%,22.4,2,Alto,0.05%,0.10%,↑ Cresceu,"$65,673",35
Vietnam,"$346,310.00","$370,076.00","$411,068.00","$433,008.00","$459,472.00","$490,970.00",6.86%,11.08%,5.34%,6.11%,6.86%,7.25,92,Médio,0.40%,0.43%,↑ Cresceu,"$144,660",142
Palestine,"$15,532.00","$18,109.00","$19,166.00","$17,848.00","$17,848.00","$17,848.00",16.59%,5.84%,-6.88%,0.00%,0.00%,3.11,167,Baixo,0.02%,0.02%,→ Estável,"$2,316",125
Yemen,"$20,220.00","$19,394.00","$23,534.00","$19,412.00","$19,101.00","$17,401.00",-4.09%,21.35%,-17.52%,-1.60%,-8.90%,-2.15,179,Baixo,0.02%,0.02%,→ Estável,"$-2,819",193
Zambia,"$18,138.00","$22,096.00","$29,164.00","$27,578.00","$26,326.00","$28,910.00",21.82%,31.99%,-5.44%,-4.54%,9.82%,10.73,34,Alto,0.02%,0.03%,↑ Cresceu,"$10,772",170
Zimbabwe,"$26,878.00","$36,016.00","$32,613.00","$35,144.00","$35,224.00","$38,172.00",34.00%,-9.45%,7.76%,0.23%,8.37%,8.18,69,Médio,0.03%,0.03%,→ Estável,"$11,294",165
